id,complaint_text,category,urgency
346,"There is a loose paving stone on the main walkway near the fountain, creating a tripping hazard.",Facilities,Medium
347,"The card reader for the laundry machines in Sycamore Hall is frequently offline or unable to process payments, preventing students from doing laundry.",Housing,Medium
348,"The download speed for large files from the university's course management system is extremely slow, even on a fast connection.",IT Support,Low
349,"What documentation is needed to prove independent student status if FAFSA initially classified me as dependent?",Financial Aid,Medium
350,"The lack of charging stations for electric vehicles on campus is becoming an issue for students and staff who own EVs.",Campus Life,Low
351,"The course requirements listed on the department website for completing my minor seem different from what my advisor told me. Need clarification.",Academic,Medium
352,"The air conditioning in the west wing of the library (floors 3-5) seems to be malfunctioning; it's uncomfortably warm.",Facilities,Medium
353,"My dorm room (Redwood House, 212) has not had hot water for the past 12 hours. When can we expect this to be repaired?",Housing,High
354,"The university website search function is not effective; it rarely returns relevant results, making it hard to find information.",IT Support,Low
355,"I'm participating in a co-op program next semester. How does this affect my financial aid and enrollment status?",Financial Aid,Medium
356,"The campus lost and found is only open for very limited hours, making it difficult for students with classes to check for lost items.",Campus Life,Low
357,"I need to take a required course (ART 150) that is currently full. Is there a waitlist I can join, or any chance of additional sections opening?",Academic,Medium
358,"The sidewalks along the main campus drive haven't been cleared properly after the recent snowfall, making walking conditions slippery and dangerous.",Facilities,High
359,"The light in the shower stall in the communal bathroom (Juniper Hall, 2nd North) is burnt out.",Housing,Low
360,"I am trying to activate my account for the campus career services platform, but I never received the activation email.",IT Support,Low
361,"Can financial aid cover the cost of summer session courses? What is the application process and timeline?",Financial Aid,Medium
362,"The food quality in the main dining hall seems to have declined significantly this semester compared to last year.",Campus Life,Medium
363,"My professor for MKTG 410 is using lecture slides that are difficult to read (poor color contrast, small font). Could they be made more accessible?",Academic,Low
364,"Could the university provide secure bike lockers for rent? Standard bike racks offer limited security against theft.",Facilities,Medium
365,"The temperature in my dorm room (Laurel House 501) fluctuates drastically, making it hard to sleep comfortably.",Housing,Medium
366,"The campus network performance seems significantly degraded during peak evening hours (7-10 PM), affecting streaming and online work.",IT Support,Medium
367,"I was selected for FAFSA verification and submitted the requested documents weeks ago, but my financial aid award is still showing as 'estimated'. When will it be finalized?",Financial Aid,Medium
368,"The seating in the primary lecture hall for science courses (Baker 101) is cramped and uncomfortable for long lectures.",Campus Life,Low
369,"I'm concerned about the lack of feedback on assignments submitted in my online ASYNC course (ENGL 250). Without feedback, it's hard to improve.",Academic,Medium
370,"The elevator in the Humanities building frequently makes concerning noises and occasionally stops slightly misaligned with the floor.",Facilities,High
371,"There is a potential pest issue (mice droppings sighted) in the communal kitchen area of Aspen Hall, 3rd floor. Requesting pest control inspection.",Housing,High
372,"I am unable to log into the student health portal to make an appointment or view records. The login page keeps timing out.",IT Support,Medium
373,"What is the process for appealing a financial aid decision if my family's financial situation has drastically changed due to job loss?",Financial Aid,Critical
374,"The campus shuttle route does not adequately serve the off-campus apartment complexes where many students live.",Campus Life,Medium
375,"My final grade in MATH 112 appears to be lower than expected based on my individual assignment and exam scores. Could there have been a calculation error?",Academic,High
376,"The automatic flush sensor on a toilet in the Student Union 2nd floor men's restroom is constantly running.",Facilities,Low
377,"My dorm room window (Oak Residence, 422) is stuck and cannot be opened.",Housing,Low
378,"The security certificate for the university's VPN service appears to have expired, preventing connection.",IT Support,High
379,"I need information on emergency student loans. I have an unexpected expense and cannot cover rent this month.",Financial Aid,Critical
380,"The condition of the tennis courts is poor, with numerous cracks and weeds growing through the surface.",Campus Life,Low
381,"The professor for COMM 320 does not follow the syllabus schedule, frequently changing topics and assignments with little notice.",Academic,Medium
382,"Could we get signs reminding people to wipe down equipment after use in the campus fitness center?",Facilities,Low
383,"My roommate is consistently leaving the dorm room door unlocked when they leave, despite my requests to lock it. I am concerned about security.",Housing,Medium
384,"The software license server for MATLAB seems to be down. I cannot launch the application required for my ENGR 210 homework.",IT Support,High
385,"I need to submit documentation for a dependency override appeal. What is the mailing address or secure portal for submitting sensitive documents?",Financial Aid,Medium
386,"The quiet hours policy in the library seems inconsistently enforced, especially during evenings and weekends.",Campus Life,Medium
387,"The registration system added me to a course section that conflicts with my work schedule, even though I selected a different section. Need help correcting this.",Academic,Medium
388,"The lighting on the pathway between the library and the Performing Arts Center is insufficient and needs improvement for safety.",Facilities,Medium
389,"The heating in my dorm room (Cedar Hall, 519) is not working at all. The room is extremely cold. This needs urgent repair.",Housing,Critical
390,"I am trying to reset my university account password, but the security questions I set up are not being recognized.",IT Support,Medium
391,"My financial aid disbursement was significantly less than what was indicated on my award letter. Why would this happen?",Financial Aid,High
392,"The campus needs more water bottle filling stations, especially in the older academic buildings where there are often none.",Campus Life,Low
393,"My grade for the presentation in SPCH 101 seems unfairly low compared to the rubric and feedback received. Requesting a review.",Academic,Medium
394,"The lock on the door to the computer lab in the basement of Davis Hall is broken and the door doesn't close properly.",Facilities,Medium
395,"The communal recycling bin on my floor (Elm Tower, 7th) is missing. Was it removed intentionally or does it need replacing?",Housing,Low
396,"I am unable to connect my laptop to the 'eduroam' Wi-Fi network. My credentials work on the main campus network, but not eduroam.",IT Support,Medium
397,"What is the deadline to apply for university-specific scholarships for the upcoming academic year?",Financial Aid,Low
398,"The campus shuttle bus often arrives significantly earlier or later than the posted schedule times, making it unreliable.",Campus Life,Medium
399,"I am required to use a specific online proctoring service for my exams, but it seems invasive and raises privacy concerns. Are there alternatives?",Academic,Medium
400,"The air circulation in the main library seems poor, often feeling stuffy and overly warm, especially on upper floors.",Facilities,Medium
401,"There appears to be mold growing in the shower area of the communal bathroom on my floor (Maple Hall, 2nd South). Needs inspection and cleaning.",Housing,High
402,"The university's single sign-on (SSO) page is not loading, preventing access to email, course portal, and other services.",IT Support,Critical
403,"I need to submit an appeal because my Satisfactory Academic Progress (SAP) status is 'not met'. What is the procedure and deadline?",Financial Aid,High
404,"The number of available study rooms in the library is insufficient, especially during peak times like midterms and finals.",Campus Life,Medium
405,"The course materials provided for BIOL 250 online section are minimal and lack sufficient detail to understand the complex topics.",Academic,Medium
406,"The emergency call box located near the south parking deck appears to be damaged or non-functional.",Facilities,High
407,"My RA entered my room without knocking while I was inside. This felt like a violation of my privacy.",Housing,Medium
408,"I'm trying to use the statistical software SPSS through the university's virtual lab, but the connection is very slow and keeps freezing.",IT Support,Medium
409,"Can I request a review of my financial aid package if my family's income has recently decreased significantly?",Financial Aid,High
410,"The campus bookstore often runs out of required textbooks early in the semester, forcing students to seek more expensive options elsewhere.",Campus Life,Medium
411,"My advisor is unresponsive to emails requesting guidance on course selection for next semester. Registration opens soon.",Academic,Medium
412,"The water pressure in the drinking fountains in the Science Building is extremely low.",Facilities,Low
413,"The fire alarm system in Pine Hall seems overly sensitive; it has gone off multiple times briefly for no clear reason this semester.",Housing,Medium
414,"I need to change my registered mobile number for multi-factor authentication, but the process requires access to the old number which I no longer have.",IT Support,High
415,"Where can I find detailed information about the different types of student loans (subsidized vs. unsubsidized) offered?",Financial Aid,Low
416,"The campus Wi-Fi network blocks access to certain legitimate research websites needed for my coursework.",Campus Life,Medium
417,"I am concerned about the grading fairness of a specific TA in my CHEM 101 discussion section. Their grading seems harsher and more subjective than other TAs.",Academic,Medium
418,"The landscaping near the main entrance needs attention; weeds are overgrown and it looks unkempt.",Facilities,Low
419,"The security lock on the main entrance door to Sycamore Hall frequently malfunctions, sometimes not latching properly.",Housing,High
420,"The university's password reset portal is down, and I cannot reset my expired password to access course materials.",IT Support,High
421,"I received an outside scholarship. How will this impact my university need-based grant aid?",Financial Aid,Medium
422,"The accessibility buttons to open doors automatically are often broken or unresponsive in several buildings on campus.",Campus Life,Medium
423,"The professor for ART 110 is frequently late to class, sometimes by 10-15 minutes, cutting into valuable instruction time.",Academic,Low
424,"The men's restroom on the 4th floor of the library has a toilet that continuously runs, wasting water.",Facilities,Low
425,"The heating in my dorm room (Redwood House, 314) is inconsistent; it's either too hot or too cold.",Housing,Medium
426,"I am unable to install the required Autodesk software using the university license. The activation process fails.",IT Support,Medium
427,"I need clarification on the requirements to remain eligible for the Hope Scholarship.",Financial Aid,Low
428,"The outdoor basketball courts need resurfacing; the current surface is cracked and uneven.",Campus Life,Low
429,"My request for an overload credit petition has not been reviewed, and I need the extra course to stay on track for graduation.",Academic,Medium
430,"The elevator in Davis Hall sounds like it's struggling and occasionally shudders between floors. Requesting a safety inspection.",Facilities,High
431,"There is a strong, unpleasant odor coming from the trash chute room on the 5th floor of Juniper Hall.",Housing,Medium
432,"I am trying to submit an assignment file larger than 100MB to the course website, but it's exceeding the file size limit. How can I submit it?",IT Support,Medium
433,"I need to request a professional judgment review of my FAFSA due to special circumstances not reflected in the standard application.",Financial Aid,High
434,"The campus map doesn't clearly indicate accessible routes and building entrances.",Campus Life,Low
435,"The course website for PSYC 305 has not been updated with lecture notes or assignments since the first week of class.",Academic,Medium
436,"The pathway lights behind the student center are flickering and some are completely out.",Facilities,Medium
437,"The washing machine in Laurel House basement stole my payment but didn't start the cycle. How do I get a refund?",Housing,Medium
438,"I'm locked out of my student account after too many failed login attempts. The password reset isn't working. Need immediate assistance.",IT Support,Critical
439,"My estimated financial aid package seems insufficient to cover tuition and living expenses. What are my options for additional aid or loans?",Financial Aid,High
440,"The hours of operation for the campus writing center are very limited, making it hard for students with afternoon classes or jobs to get help.",Campus Life,Medium
441,"The professor for ENGL 102 is not providing clear grading rubrics before assignments are due.",Academic,Medium
442,"The temperature in the main computer lab (Library 1st floor) is uncomfortably cold.",Facilities,Low
443,"My roommate has violated the guest policy multiple times, having overnight guests for extended periods without approval.",Housing,Medium
444,"The campus VPN service frequently disconnects, interrupting access to library databases and internal resources.",IT Support,Medium
445,"I need to understand the difference between the grant aid and loan aid offered in my package. Could someone explain?",Financial Aid,Low
446,"The campus directory (for finding faculty/staff contact info) seems outdated; many entries have incorrect phone numbers or office locations.",Campus Life,Low
447,"I am waitlisted for PHYS 201 Lab, section 3. It's required for my major. What are my chances of getting in before the semester starts?",Academic,Medium
448,"The exit door on the ground floor of the parking garage (North Deck) is difficult to open.",Facilities,Low
449,"The sink in my dorm room (Aspen Hall, 610) is draining very slowly.",Housing,Low
450,"I am trying to log in to the Respondus Lockdown Browser for an exam, but it's giving an error message about server connection.",IT Support,High
451,"What is the process for applying for federal work-study jobs on campus?",Financial Aid,Low
452,"The inter-campus shuttle service schedule is inconvenient for students with classes on both campuses back-to-back.",Campus Life,Medium
453,"I have concerns about the grading consistency between different sections of the same multi-section course (MATH 101).",Academic,Medium
454,"The lighting in the stairwell of the Fine Arts building is poor, with several bulbs burnt out.",Facilities,Medium
455,"My RA seems unresponsive to resident concerns. I reported a maintenance issue in the common area two weeks ago, and nothing has been done.",Housing,Medium
456,"The university calendar webpage is poorly designed and difficult to find specific dates (like withdrawal deadlines).",IT Support,Low
457,"I need to appeal my financial aid suspension due to not meeting Satisfactory Academic Progress (SAP) requirements. What is the procedure?",Financial Aid,High
458,"The variety of food options available at the campus dining locations becomes very repetitive throughout the semester.",Campus Life,Low
459,"The professor for SOCI 101 is relying heavily on outdated textbook material that doesn't reflect current research in the field.",Academic,Low
460,"The sidewalk near the bus stop has a large crack that poses a tripping hazard.",Facilities,Medium
461,"The shared bathroom on my residence hall floor (Oak Residence, 3rd) consistently runs out of hand soap.",Housing,Low
462,"I'm unable to access the university's Wi-Fi network in the new Business School building. Is the network fully operational there yet?",IT Support,Medium
463,"How does receiving an outside scholarship impact the amount of federal student aid (like Pell Grants or loans) I'm eligible for?",Financial Aid,Medium
464,"The campus lost and found system needs improvement; it's hard to know if items have been turned in.",Campus Life,Low
465,"I need clarification on the foreign language requirement for my degree program. The information online is ambiguous.",Academic,Low
466,"The elevator buttons in Thompson Hall often stick or require multiple presses to register.",Facilities,Low
467,"My dorm room (Birch House, 114) is directly above the building's generator, and the noise/vibration is disruptive when it runs.",Housing,Medium
468,"The campus computer lab printers are frequently out of toner or paper, especially during busy periods.",IT Support,Low
469,"I need to request a copy of my official financial aid award letter for an external scholarship application. How do I do this?",Financial Aid,Low
470,"The seating area outside the main coffee shop is often dirty with leftover trash and spills.",Campus Life,Low
471,"The assignment deadlines listed on the syllabus for ECON 202 don't match the deadlines posted on the online course portal. Which is correct?",Academic,Medium
472,"The automatic paper towel dispenser in the women's restroom, 1st floor Science Building, is empty.",Facilities,Low
473,"The lock on my mailbox (Cedar Hall, #530) is jammed. I cannot retrieve my mail.",Housing,Medium
474,"I am trying to use the university's video conferencing tool (Zoom/Teams) for a group project, but my account doesn't seem to have the necessary license/permissions.",IT Support,Medium
475,"My FAFSA was selected for verification. What documents do I need to submit, and what is the deadline?",Financial Aid,Medium
476,"The campus recreation center should offer introductory workshops for using the weightlifting equipment safely.",Campus Life,Low
477,"I am having difficulty reaching my assigned academic advisor to discuss my plan for next semester. They haven't responded to emails or voicemails.",Academic,Medium
478,"The pedestrian crossing signal at the intersection of University Drive and Campus Walk seems to have a very short 'walk' time.",Facilities,Low
479,"My roommate has been smoking marijuana in our dorm room (Elm Tower, 705), which is a violation of housing policy and affects my allergies.",Housing,High
480,"I cannot access my course grades on the student portal. The page keeps loading indefinitely or shows an error.",IT Support,Medium
481,"I believe there may be an error in the calculation of my Expected Family Contribution (EFC) on my SAR. How can I request a review?",Financial Aid,Medium
482,"The campus needs more bike repair stations equipped with air pumps and basic tools.",Campus Life,Low
483,"The professor for PSYC 215 provides very little feedback on written assignments, making it difficult to understand how to improve.",Academic,Medium
484,"The lights on the tennis courts are often turned off too early in the evening, preventing play after dark.",Facilities,Low
485,"The air conditioning in my dorm room (Maple Hall, 419) is making a loud buzzing noise.",Housing,Low
486,"The university website is not rendering correctly on my mobile browser (Safari on iPhone); elements are overlapping or unreadable.",IT Support,Low
487,"I need to understand the difference between grants, scholarships, and loans in my financial aid offer.",Financial Aid,Low
488,"The campus bookstore hours are inconvenient for students who have evening classes.",Campus Life,Low
489,"I need to get approval for substituting a required course with an equivalent course taken at another institution. What is the process?",Academic,Medium
490,"The water fountain near Lecture Hall C in the Science Building is leaking.",Facilities,Low
491,"The door handle to my dorm room (Pine Hall, 607) is loose and feels like it might come off.",Housing,Medium
492,"I'm getting an error message when trying to access the library's electronic reserves for my HIST 101 course.",IT Support,Medium
493,"If I take fewer credits next semester, how will that impact my eligibility for federal grants and loans?",Financial Aid,Medium
494,"The university should provide more support and resources for commuter students (e.g., lounges, lockers).",Campus Life,Low
495,"The grading for lab reports in CHEM 221 seems inconsistent depending on which TA grades the report.",Academic,Medium
496,"The recycling bins in the academic quads are often contaminated with non-recyclable trash.",Facilities,Low
497,"My RA is rarely available during posted office hours and doesn't respond promptly to emails.",Housing,Medium
498,"The link provided for downloading course software for CS 101 is broken (404 error).",IT Support,Medium
499,"What is the deadline for accepting or declining the federal student loans offered in my financial aid package?",Financial Aid,Low
500,"The Wi-Fi connection in the Student Union building is unreliable, frequently dropping or slowing down.",Campus Life,Medium
501,"The prerequisites listed for MATH 301 seem incorrect or outdated based on recent curriculum changes. Need confirmation before registering.",Academic,Low
502,"The thermostat in Classroom 310, Davis Hall, appears to be broken; the room is excessively hot.",Facilities,Medium
503,"My dorm room (Sycamore Hall, 225) window screen is missing, allowing bugs to enter.",Housing,Low
504,"I am having trouble connecting my smart device (Amazon Echo) to the campus residential Wi-Fi network (ResNet).",IT Support,Low
505,"Can unused Federal Work-Study funds from the fall semester be carried over to the spring semester?",Financial Aid,Low
506,"The campus needs more outdoor seating areas with tables suitable for studying or eating.",Campus Life,Low
507,"The professor for ART 220 often goes off on tangents unrelated to the course material during lectures.",Academic,Low
508,"The automatic door to the library entrance is malfunctioning and closing too quickly.",Facilities,Medium
509,"The drain in the communal shower on my floor (Redwood House, 4th) is clogged, causing water to back up.",Housing,Medium
510,"The university's primary website search engine returns poor results; it's difficult to find specific information.",IT Support,Low
511,"What is the process for applying for financial aid for summer courses?",Financial Aid,Medium
512,"The campus health clinic needs extended hours, especially during evenings and weekends.",Campus Life,Medium
513,"I believe my grade on the recent BIOL 110 midterm was calculated incorrectly. Could the professor review the grading?",Academic,Medium
514,"One of the streetlights on the path between the dorms and the library is out.",Facilities,Low
515,"My assigned roommate in Juniper Hall snores extremely loudly, making it impossible to sleep. Requesting mediation or room change options.",Housing,Medium
516,"The university portal login page often fails to load or times out during peak hours.",IT Support,Medium
517,"I need assistance completing the FAFSA verification process; the required forms are confusing.",Financial Aid,Medium
518,"The campus shuttle app does not provide accurate real-time tracking information.",Campus Life,Medium
519,"The instructor for ENGL 350 has not posted any grades online yet, halfway through the semester.",Academic,Medium
520,"The recycling bin located outside the main entrance of the Administration building is constantly overflowing.",Facilities,Low
521,"The temperature control in my dorm room (Laurel House, 611) doesn't seem to work; it's always too warm.",Housing,Medium
522,"I cannot access my course schedule on the student information system; it shows a blank page.",IT Support,Medium
523,"My financial aid package seems insufficient to cover the estimated cost of attendance. What are my options for appeal or additional aid?",Financial Aid,High
524,"The campus fitness center needs more elliptical machines; there are often long waits.",Campus Life,Low
525,"My academic advisor provided outdated information regarding graduation requirements for my major.",Academic,Medium
526,"The elevator in the Fine Arts building has been out of order for several days. This is an accessibility issue.",Facilities,High
527,"The washing machine on the 2nd floor of Aspen Hall is leaking water.",Housing,Medium
528,"I'm trying to install software from the university's software center, but the download link is broken.",IT Support,Low
529,"Where can I find information about scholarship opportunities specifically for transfer students?",Financial Aid,Low
530,"The designated quiet study floor in the library is often noisy due to conversations.",Campus Life,Medium
531,"I am waitlisted for a course (CHEM 201) that is a prerequisite for several courses next semester. What are my options if I don't get in?",Academic,High
532,"The paint is peeling badly on the exterior window frames of Thompson Hall.",Facilities,Low
533,"My dorm room key (Oak Residence, 508) occasionally sticks in the lock.",Housing,Low
534,"The university's password complexity requirements are excessive and difficult to manage.",IT Support,Low
535,"I need to submit additional documentation for my financial aid appeal. What is the best way to submit these documents securely?",Financial Aid,Medium
536,"The process for reserving campus spaces for student organization events is overly complicated.",Campus Life,Low
537,"The professor for HIST 415 is disorganized and frequently changes assignment due dates with little notice.",Academic,Medium
538,"The benches near the lake are weathered and have splinters. Need repair or replacement.",Facilities,Low
539,"My roommate (Birch House, 102) consistently fails to clean up after themselves in our shared living space, creating an unsanitary environment.",Housing,Medium
540,"The campus network connection seems unusually slow today across multiple websites.",IT Support,Low
541,"What is the deadline to submit the FAFSA to be considered for maximum aid eligibility?",Financial Aid,Low
542,"The university should offer more diverse intramural sports options beyond the standard ones.",Campus Life,Low
543,"I received conflicting information from two different university offices regarding the transfer credit policy.",Academic,Medium
544,"The main staircase in the Science Building has a loose handrail.",Facilities,Medium
545,"The ceiling light fixture in my dorm room (Cedar Hall, 333) is burnt out.",Housing,Low
546,"I am unable to print wirelessly from my laptop to the campus printers; my device doesn't discover them.",IT Support,Medium
547,"My Parent PLUS loan application was denied. What other financing options are available?",Financial Aid,High
548,"The campus bookstore prices for required course materials seem significantly higher than online retailers.",Campus Life,Medium
549,"My professor for MATH 210 does not hold their scheduled office hours regularly.",Academic,Medium
550,"The water fountain on the 2nd floor of Davis Hall produces water with a strange taste.",Facilities,Low
551,"My RA is not enforcing the floor's quiet hours, leading to frequent disturbances.",Housing,Medium
552,"I'm experiencing issues submitting my timesheet through the online student employment portal.",IT Support,Low
553,"I need to understand the terms and conditions associated with the federal TEACH Grant.",Financial Aid,Low
554,"There aren't enough power outlets available in the main cafeteria for students needing to charge devices.",Campus Life,Low
555,"The online submission link for the final paper in SOCI 300 is not working, and the deadline is tonight.",Academic,High
556,"The crosswalk markings at the intersection near the gym are faded and difficult to see.",Facilities,Low
557,"My dorm room (Elm Tower, 618) has poor ventilation and often feels stuffy.",Housing,Low
558,"I need assistance configuring my university email account on my Android phone.",IT Support,Low
559,"If my residency status changes (e.g., become a state resident), how do I update this for tuition and financial aid purposes?",Financial Aid,Medium
560,"The university should provide more transparency on how student activity fees are allocated.",Campus Life,Low
561,"The professor for ECON 101 speaks too quickly, making it difficult to take notes and understand the material.",Academic,Low
562,"The glass on the front door of the Student Union is cracked.",Facilities,Medium
563,"The microwave oven in the communal kitchen on my floor (Maple Hall, 4th) is not heating food properly.",Housing,Medium
564,"I am getting persistent pop-up ads when browsing the university library website. Is this normal or a security issue?",IT Support,Medium
565,"I need to know if my external scholarship funds have been received and credited to my student account.",Financial Aid,Medium
566,"The campus gym needs better cleaning and sanitation practices, especially for shared equipment.",Campus Life,Medium
567,"I am registered for a course that has a time conflict with another required course. I need help resolving this scheduling issue.",Academic,High
568,"The exterior lighting around the Performing Arts Center is inadequate, making it feel unsafe walking there after dark.",Facilities,Medium
569,"The internet speed in my dorm room (Pine Hall, 211) is consistently slow, much slower than advertised.",Housing,Medium
570,"The Duo Mobile app for two-factor authentication is not sending push notifications to my phone.",IT Support,High
571,"I was unexpectedly charged out-of-state tuition despite being a state resident. How do I correct this billing error?",Financial Aid,Critical
572,"The campus needs more vegetarian and vegan options available at all dining locations, including late-night options.",Campus Life,Medium
573,"My professor for BIOL 305 hasn't responded to emails about clarifying assignment instructions sent over a week ago.",Academic,Medium
574,"The bike racks located near the library are constantly full. More capacity is needed.",Facilities,Low
575,"My roommate is playing loud video games late into the night, violating quiet hours and disrupting my sleep.",Housing,Medium
576,"The library database login page isn't accepting my valid university credentials.",IT Support,Medium
577,"What is the difference between subsidized and unsubsidized federal student loans?",Financial Aid,Low
578,"The university events calendar is difficult to search and filter effectively.",Campus Life,Low
579,"I'm trying to register for a required course (PSYC 200) but the system says I don't meet the prerequisites, even though I do.",Academic,High
580,"The drinking fountain on the 3rd floor of the Humanities building has been taped off and out of order for a month.",Facilities,Medium
581,"The common room furniture on my floor (Sycamore Hall, 5th) is worn out and stained.",Housing,Low
582,"I need help installing the university's VPN client on my Macbook.",IT Support,Low
583,"How does withdrawing from the university mid-semester affect my financial aid and loan repayment?",Financial Aid,High
584,"The campus shuttle service should have more frequent runs during peak class change times.",Campus Life,Medium
585,"The grading criteria for essays in ENGL 101 seem subjective and inconsistently applied by the instructor.",Academic,Medium
586,"The sidewalk leading to the Science labs is cracked and uneven in several places.",Facilities,Medium
587,"The heat in my dorm room (Redwood House, 408) is stuck on and cannot be turned down; the room is unbearably hot.",Housing,High
588,"I am unable to access the online textbook platform required for my SPAN 102 course.",IT Support,Medium
589,"My financial aid refund seems delayed. When are refunds typically processed and disbursed?",Financial Aid,Medium
590,"The campus needs more water fountains and bottle filling stations across all buildings.",Campus Life,Low
591,"My professor for CHEM 111 frequently makes errors during lectures and struggles to answer student questions accurately.",Academic,Medium
592,"The elevator in the Administration building makes a loud grinding noise when moving.",Facilities,Medium
593,"The lock on the bathroom door in my dorm suite (Juniper Hall, Apt 3C) is broken.",Housing,Low
594,"The Wi-Fi signal strength is very weak in certain parts of the library basement.",IT Support,Low
595,"What are the eligibility requirements for the Federal Pell Grant?",Financial Aid,Low
596,"The campus dining hall menu lacks variety, especially during weekends.",Campus Life,Low
597,"I need to petition to take more than the maximum allowed credits next semester to graduate on time. What is the process?",Academic,High
598,"The accessible parking spaces near the library are often occupied by vehicles without the proper permit.",Facilities,Medium
599,"My RA has been entering student rooms for inspections without providing the mandatory 24-hour written notice.",Housing,Medium
600,"The software required for my engineering class (SolidWorks) is not launching correctly on the lab computers.",IT Support,High
601,"I need to understand how my work-study earnings will be taxed.",Financial Aid,Low
602,"The university should clearly list all mandatory student fees and explain what they cover.",Campus Life,Low
603,"The learning objectives listed in the syllabus for HIST 250 do not align well with the actual course content and assessments.",Academic,Low
604,"The lighting in the underground parking garage (East Deck) is poor in some sections.",Facilities,Medium
605,"The shared kitchen area on my floor (Laurel House, 2nd) is frequently left messy by other residents.",Housing,Low
606,"My university email account is receiving an excessive amount of spam emails daily.",IT Support,Low
607,"What is the deadline for submitting the CSS Profile if it's required by the university?",Financial Aid,Low
608,"The campus bookstore buyback program offers very low prices for used textbooks.",Campus Life,Medium
609,"I am having trouble finding a faculty member willing to serve as my honors thesis advisor.",Academic,Medium
610,"The temperature in Lecture Hall B is consistently too cold, making it difficult to focus.",Facilities,Medium
611,"The window blinds in my dorm room (Aspen Hall, 515) are broken and cannot be adjusted.",Housing,Low
612,"I am unable to connect my printer to the campus wireless network.",IT Support,Low
613,"My financial aid is currently on hold due to an unresolved verification issue. I submitted documents weeks ago. Please advise.",Financial Aid,High
614,"The recreational sports facilities (e.g., basketball courts) are often overcrowded.",Campus Life,Medium
615,"My professor for PHIL 300 cancelled multiple classes this semester without arranging make-up sessions.",Academic,Medium
616,"There is a leak in the ceiling of the main lobby in the Fine Arts building.",Facilities,Medium
617,"The internet connectivity in my dorm building (Oak Residence) has been intermittent for the past few days.",Housing,Medium
618,"I need access to Adobe Creative Cloud software for my design course, but my university account doesn't seem to have a license.",IT Support,Medium
619,"I need clarification on the Satisfactory Academic Progress (SAP) policy and how it impacts financial aid eligibility.",Financial Aid,Medium
620,"The campus shuttle does not run late enough to accommodate students leaving night classes or the library.",Campus Life,Medium
621,"I am concerned about the grading rigor in a lower-division course (PSYC 101) that seems excessively harsh for an introductory class.",Academic,Medium
622,"The hand sanitizer dispenser near the main entrance of the library is empty.",Facilities,Low
623,"My roommate has been creating a disruptive environment by having loud phone calls late at night.",Housing,Medium
624,"The university's mobile app often crashes or fails to display correct schedule information.",IT Support,Low
625,"How can I apply for emergency financial assistance due to unexpected circumstances?",Financial Aid,Critical
626,"The campus needs more gluten-free options in the dining halls.",Campus Life,Medium
627,"The TA for my calculus class (MATH 1B) is often unprepared for discussion sections and cannot answer student questions clearly.",Academic,Medium
628,"The elevator inspection certificate in Davis Hall appears to be expired.",Facilities,Low
629,"The heat in my dorm room (Birch House, 401) is not working properly; the room is very cold.",Housing,High
630,"I am unable to access my university email account. It says 'account locked'.",IT Support,High
631,"I have questions about the terms of my student loan repayment options.",Financial Aid,Low
632,"The campus wireless network ('CampusGuest') is extremely slow and unreliable.",Campus Life,Low
633,"I need to request a disability accommodation (e.g., extended test time) for my upcoming exams. What is the procedure?",Academic,Medium
634,"The automatic door opener at the entrance of the Student Services building is broken.",Facilities,Medium
635,"My dorm room door (Cedar Hall, 228) does not close properly unless slammed.",Housing,Low
636,"The university requires using a specific citation style software (e.g., EndNote), but provides no training or support for it.",IT Support,Low
637,"I received notification that my financial aid package was revised downwards. Can I appeal this decision?",Financial Aid,High
638,"The campus map needs updating to reflect recent building name changes and construction.",Campus Life,Low
639,"My professor for COMM 210 relies heavily on group projects, but provides little guidance on managing group dynamics or workload distribution.",Academic,Low
640,"The air conditioning in the library's third-floor quiet study area is too cold.",Facilities,Low
641,"The communal bathroom on my floor (Elm Tower, 5th North) was not cleaned today.",Housing,Low
642,"I am having trouble logging into the online portal to pay my tuition bill.",IT Support,Medium
643,"What is the maximum amount of Federal Pell Grant I can receive per academic year?",Financial Aid,Low
644,"The campus needs more picnic tables and outdoor seating areas.",Campus Life,Low
645,"The course description for BIOL 405 was misleading; the actual course content is very different from what was advertised.",Academic,Medium
646,"The sidewalk outside the main cafeteria has uneven pavement, creating a tripping hazard.",Facilities,Medium
647,"The laundry room in my dorm (Maple Hall) is always busy, and several machines are often out of order.",Housing,Medium
648,"I need to forward my university email to my personal Gmail account, but I can't find the setting.",IT Support,Low
649,"My circumstances have changed, and I need to appeal for more financial aid. What is the process?",Financial Aid,High
650,"The campus shuttle schedule is not well synchronized with evening class end times.",Campus Life,Medium
651,"Professor Lee for chemistry (CHEM 101) hasn't posted lecture notes online as promised in the syllabus, making it hard to study.",Academic,Medium
652,"There's a water fountain near the gym entrance that has been broken for weeks. It's a high-traffic area.",Facilities,Medium
653,"My roommate keeps borrowing my belongings without asking permission. I've tried talking to them, but it continues. Need help mediating.",Housing,Medium
654,"The university's online job board for student employment is difficult to navigate and search effectively.",IT Support,Low
655,"I have questions about my financial aid package concerning the difference between grants and loans. Can someone explain?",Financial Aid,Low
656,"The library hours should be extended during finals week to provide more study time options for students.",Campus Life,Medium
